Date & Time,   System Log,   Charge MOS Status,   Discharge MOS Status,   Balance Status,   Heating Status,   Max Cell Voltage No,   Min Cell Voltage No,   Max Cell Voltage,   Min Cell Voltage,   Battery Voltage,   Battery Current,   SOC Cap. Remain,   SOC Full Charge Cap.,   Max Temp,   Min Temp,   Temp MOS,   Heat Current
2025-11-19 15:10:57,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   6,   0,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   25,   29,   0.0
2025-11-19 15:11:03,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   7,   6,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   25,   29,   0.0
2025-11-19 15:11:09,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   10,   7,   3.7,   3.7,   48.4,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:15,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   4,   8,   3.7,   3.7,   48.4,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:21,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   9,   2,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:27,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   5,   10,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:33,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   4,   0,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:39,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   7,   1,   3.7,   3.7,   48.4,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:45,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   9,   7,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:51,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   1,   6,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:11:57,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   7,   0,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
2025-11-19 15:12:03,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   10,   8,   3.7,   3.7,   48.5,   0.0,   1.9,   3.0,   26,   26,   29,   0.0
